timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
55,1.4,1.94406277759937,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.001993629086659136,-0.05591920710613018,-0.05591920710613018,-0.024946785450985057,0.0,0.0,0.0
56,1.4,1.9430663639455703,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.0029902210042655804,-0.05691499014006633,-0.05691499014006633,-0.025943033071246038,0.0,0.0,0.0
57,1.4,1.9420700950472078,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.003986659194164511,-0.05791061945842822,-0.05791061945842822,-0.026939126968963962,0.0,0.0,0.0
58,1.4,1.941073974887766,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.004982939674256237,-0.058906091079115985,-0.058906091079115985,-0.027935063162039066,0.0,0.0,0.0
59,1.4,1.9400780074500887,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.005979058463115682,-0.059901401020704355,-0.059901401020704355,-0.028930837669046194,0.0,0.0,0.0
60,1.4,1.9390821967163665,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.006975011580008299,-0.06089654530245861,-0.06089654530245861,-0.029926446509250724,0.0,0.0,0.0
61,1.4,1.938086546668118,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.00797079504490599,-0.061891519944350465,-0.061891519944350465,-0.030921885702624476,0.0,0.0,0.0
62,1.4,1.9370910612861763,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.008966404878503012,-0.062886320967074,-0.062886320967074,-0.03191715126986163,0.0,0.0,0.0
63,1.4,1.9360957445506715,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.009961837102231894,-0.06388094439206156,-0.06388094439206156,-0.03291223923239464,0.0,0.0,0.0
64,1.4,1.935100600441015,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,-0.010957087738279338,-0.06487538624149966,-0.06487538624149966,-0.033907145612410136,0.0,0.0,0.0
